-0.47652,0.95676,0.17325,-1.3036,-0.31866,0.86115,-1.8214
-0.47846,0.95684,0.17793,-1.3049,-0.31347,0.86344,-1.8225
-0.47969,0.95674,0.18237,-1.3061,-0.30921,0.86553,-1.8241
-0.48062,0.95673,0.18657,-1.3074,-0.30526,0.86743,-1.8254
-0.48099,0.9577,0.19101,-1.3089,-0.30086,0.86884,-1.8259
-0.48208,0.95688,0.19464,-1.3102,-0.2974,0.87064,-1.8272
-0.48206,0.95776,0.19861,-1.3117,-0.29365,0.87184,-1.8276
-0.48284,0.95668,0.20208,-1.3133,-0.29035,0.87352,-1.8285
-0.48314,0.95604,0.2057,-1.3154,-0.28702,0.87501,-1.8292
-0.48285,0.9569,0.2092,-1.3168,-0.28372,0.87575,-1.8293
-0.4837,0.95524,0.21297,-1.3195,-0.27968,0.87736,-1.8294
-0.48379,0.95515,0.21658,-1.3222,-0.27629,0.87803,-1.8296
-0.48404,0.95471,0.22013,-1.3247,-0.27269,0.87849,-1.8295
-0.48388,0.95459,0.22348,-1.327,-0.26952,0.87885,-1.8294
-0.4836,0.95441,0.22664,-1.3291,-0.26648,0.87917,-1.8291
-0.4836,0.95376,0.22995,-1.3319,-0.26299,0.87957,-1.8285
-0.48335,0.95319,0.23305,-1.3345,-0.25988,0.87963,-1.8279
-0.48385,0.95238,0.23632,-1.3367,-0.25625,0.88457,-1.8283
-0.48147,0.9537,0.23877,-1.3345,-0.25439,0.895,-1.8291
-0.48304,0.95488,0.2434,-1.3346,-0.24882,0.89663,-1.8293
-0.49418,0.96921,0.25835,-1.3132,-0.23473,0.9272,-1.849
-0.50086,0.9703,0.26735,-1.3133,-0.22472,0.93305,-1.8544
-0.51294,0.98509,0.2829,-1.2926,-0.21052,0.96107,-1.8756
-0.5369,1.0066,0.30886,-1.2648,-0.18494,1.0013,-1.9096
-0.55612,1.0195,0.32821,-1.2531,-0.16435,1.018,-1.9308
-0.56702,1.0253,0.34138,-1.2481,-0.15196,1.0294,-1.9451
-0.58914,1.0633,0.3689,-1.1971,-0.12394,1.0967,-1.9839
-0.61196,1.0831,0.39186,-1.1793,-0.096884,1.1254,-2.007
-0.62174,1.0919,0.40493,-1.1723,-0.085713,1.1372,-2.0234
-0.63924,1.1352,0.42974,-1.1172,-0.056735,1.2095,-2.0565
-0.65835,1.16,0.45143,-1.0942,-0.030533,1.2446,-2.0774
-0.67539,1.213,0.4796,-1.0333,0.0013369,1.3222,-2.1149
-0.70342,1.2514,0.51028,-1.0061,0.042513,1.3643,-2.1359
-0.71521,1.2974,0.53607,-0.95793,0.070702,1.4266,-2.1618
-0.71784,1.3336,0.55406,-0.9144,0.092481,1.4878,-2.1702
-0.71577,1.3632,0.56774,-0.87537,0.11036,1.5443,-2.1698
-0.71334,1.3643,0.5714,-0.8716,0.11751,1.5639,-2.1587
-0.71208,1.3605,0.57437,-0.87447,0.12303,1.5714,-2.1497
-0.6977,1.3467,0.56494,-0.87556,0.11407,1.5817,-2.1257
-0.70794,1.3448,0.57382,-0.8882,0.13013,1.5754,-2.1206
-0.70257,1.3293,0.56964,-0.90214,0.12592,1.566,-2.1079
-0.7006,1.3081,0.5659,-0.92601,0.12257,1.547,-2.0953
-0.68887,1.2742,0.55367,-0.95455,0.10443,1.5198,-2.0789
-0.68382,1.2487,0.54703,-0.981,0.097097,1.4966,-2.0631
-0.66783,1.2131,0.53269,-1.0091,0.075264,1.4688,-2.0438
-0.65998,1.1876,0.52497,-1.034,0.066163,1.4464,-2.0261
-0.64153,1.1525,0.50979,-1.063,0.043687,1.4183,-2.0029
-0.62779,1.1292,0.49981,-1.081,0.029625,1.3999,-1.9845
-0.60664,1.0972,0.48348,-1.1062,0.0069427,1.3758,-1.9571
-0.59381,1.0766,0.47539,-1.1239,-0.005157,1.3604,-1.9403
